
 # Omega; pulse ft; flux 

  0.0000      0.355898E-14          Infinity          Infinity      0.460131E-09      0.105879E-20
  0.0063      0.463566E-10      0.690351E+03     -0.917463E-09      0.469589E-09     -0.624076E-21
  0.0126      0.184266E-09      0.892547E+02     -0.438908E-09      0.482661E-09     -0.237348E-20
  0.0188      0.410301E-09      0.272879E+02     -0.784962E-10      0.492868E-09     -0.141778E-20
  0.0251      0.718811E-09      0.120143E+02     -0.365202E-10      0.506884E-09     -0.154079E-20
  0.0314      0.110202E-08      0.640556E+01     -0.173358E-10      0.517907E-09     -0.140165E-20
  0.0377      0.155015E-08      0.390493E+01     -0.354439E-10      0.532937E-09     -0.483731E-20
  0.0440      0.205163E-08      0.258551E+01     -0.146280E-10      0.544854E-09     -0.308260E-20
  0.0502      0.259326E-08      0.184288E+01     -0.723920E-11      0.561007E-09     -0.220375E-20
  0.0565      0.316047E-08      0.137505E+01      0.225308E-11      0.573916E-09      0.940390E-21
  0.0628      0.373764E-08      0.107817E+01     -0.158267E-11      0.591316E-09     -0.868006E-21
  0.0691      0.430833E-08      0.870473E+00     -0.195852E-11      0.605331E-09     -0.136197E-20
  0.0754      0.485569E-08      0.729936E+00     -0.230947E-11      0.624100E-09     -0.197461E-20
  0.0816      0.536284E-08      0.624958E+00     -0.610644E-11      0.639331E-09     -0.624688E-20
  0.0879      0.581320E-08      0.552361E+00     -0.313789E-11      0.659633E-09     -0.374729E-20
  0.0942      0.619098E-08      0.496261E+00      0.834577E-13      0.676234E-09      0.113724E-21
  0.1005      0.648162E-08      0.458848E+00      0.386200E-12      0.698247E-09      0.587696E-21
  0.1068      0.667226E-08      0.430437E+00     -0.146847E-12      0.716421E-09     -0.244412E-21
  0.1130      0.675219E-08      0.415114E+00     -0.175484E-12      0.740323E-09     -0.312962E-21
  0.1193      0.671346E-08      0.406159E+00     -0.766391E-12      0.760207E-09     -0.143445E-20
  0.1256      0.655127E-08      0.408930E+00     -0.594237E-12      0.786214E-09     -0.114249E-20
  0.1319      0.626462E-08      0.418563E+00     -0.313444E-11      0.808001E-09     -0.605077E-20
  0.1382      0.585680E-08      0.442372E+00     -0.360348E-11      0.836388E-09     -0.681306E-20
  0.1444      0.533593E-08      0.477764E+00     -0.317925E-11      0.860375E-09     -0.572532E-20
