                         Spfs           Prop            Act          Final             MPI        Non MPI
        0.000                0          30655              0              2          26907          51357
        0.100                0          61277              0              4          47191          61818
        0.205                0          89374              0              6          65412          71789
        0.315                0         117933              0              8          84603          81280
        0.431                0         143364              0             10         101169          90268
        0.553                0         168986              0             13         118317          98865
        0.680                0       -1952358              0             15       -2011120         107082
        0.814                0       -1929872              0             17       -1996344         114916
        0.955                0       -1906859              0             19       -1980667         122375
        1.103                0       -1886503              0             21       -1967311         129498
        1.258                0       -1867082              1             24       -1954610         136342
        1.421                0       -1848310              1             26       -1942276         142903
        1.592                0       -1830518              1             28       -1930670         149213
        1.771                0       -1813316              1             30       -1919396         155263
