           Time      matel     denmat    reduced    spfprop      aprop    advance  constrain    driving    #DERIVS
 T=       0.100       3894         35          5      26710          1          6          0          0        102
 T=       0.205       8803         70         11      52375          3         10          0          0         97
 T=       0.315      12688        105         16      76519         23         14          0          0         92
 T=       0.431      18366        140         22      99353         25         19          0          0         87
 T=       0.553      22329        175         28     120772         27         23          0          0         82
 T=       0.680      27049        212         33     141623         29         27          0          0         78
 T=       0.814      33713        248         39   -1986435         30         31          0          0         74
 T=       0.955      37783        283         44   -1968067         32         36          0          0         70
 T=       1.103      43519        319         50   -1950839         34         40          0          0         66
 T=       1.258      47536        354         56   -1934568         54         44          0          0         62
 T=       1.421      51424        389         61   -1919083         56         48          0          0         59
 T=       1.592      55538        424         67   -1904473         58         53          0          0         56
 T=       1.771      59427        459         73   -1890619         59         57          0          0         53
 T=       1.960      63450        494         78   -1877489         61         61          0          0         50
