         op        pot      pulse        two   assemble
        109          0          4       3788          0
        221          1          8       7582          0
        324          2         12      11362          0
        427          3         17      15142          0
        531          4         21      18927          0
        634          5         25      23728          0
        737          6         29      27505          0
        840          7         34      33073          0
        943          8         38      36927          0
       1046          9         42      41539          0
       1150         10         47      48094          0
       1253         11         51      52056          0
       1357         12         55      57683          0
       1460         13         59      61591          0
       1563         14         64      65370          0
       1666         15         68      69375          0
       1769         16         72      73156          0
       1873         17         77      77070          0
