        etc       1den       1mpi       F.T.       2mpi        dot        ALL    ft_copy   ft_conjg    ft_ft1d      ft_tr     ft_mpi    ft_copy    ft_circ
       1869        596       6826     363343       2795       2874     378305       6869       3379      81332      46565     190219      31294       3677
       1419        602       6930     364402       2796       2729     378879       6958       3386      81266      46710     191241      31167       3670
       1418        608       6554     363426       2755       2730     377491       6951       3390      81234      46631     190305      31233       3673
       1408        605       6543  -86036515       2763       2734  -86022460       6958       3378  -86318837      46586     190516      31201       3678
       1398        610       6635     363874       2787       2889     378195       6923       3391      81172      46742     190698      31261       3678
       1432        608       6821     465897       2106       2731     479596       6931       3402      81165      46738     292788      31192       3669
       1405        603       6689     363134       2758       2738     377328       6922       3394      81113      46671     190170      31180       3672
       1402        602       6673     542195       2761       2736     556370       6939       3397      81193      46754     369050      31174       3683
       1405        611       6660     370755       2758       2734     384923       6927       3397      81112      46729     197735      31181       3665
       1421        610       6677     446599       2757       2732     460797       6928       3400      81174      46720     273500      31201       3672
       1408        600       6691     640936       2764       2747     655146       6930       3397      81200      46771     467788      31174       3671
       1397        611       6665     381449       2768       2750     395640       6932       3400      81135      46774     208321      31212       3667
       1411        607       6668     547731       2744       2730     561893       6932       3395      81120      46714     374748      31149       3668
       1406        601       6674     376266       2767       2743     390458       6924       3394      81102      46721     203287      31155       3675
       1411        608       6663     363350       2761       2736     377529       6925       3398      81106      46700     190371      31180       3662
       1413        598       6687     385926       2765       2740     400131       6921       3388      81129      46707     212917      31181       3677
       1395        605       6687     363482       2767       2729     377667       6936       3401      81190      46741     190378      31160       3669
       1408        603       6689     376837       2759       2730     391027       6933       3387      81154      46747     203762      31176       3669
