                         Spfs           Prop            Act          Final             MPI        Non MPI
        0.000                0           1271              0              3           3748           6576
        0.100                0           2200              0              6           4477           6781
        0.205                0           3176              0             10           5235           7004
        0.315                0           4113              0             13           5948           7231
        0.431                0           5214              0             16           6807           7477
        0.553                0           6255              0             20           7605           7725
        0.680                0           7320              0             23           8427           7972
        0.814                0           8376              0             27           9240           8220
        0.955                0           9635              0             30          10234           8490
        1.103                0          10837              0             34          11178           8752
        1.258                0          12000              0             37          12080           9017
        1.421                0          13155              0             40          12973           9283
        1.592                0          14297              0             43          13852           9551
        1.771                0          15603              0             47          14876           9838
        1.960                0          16892              0             50          15884          10123
        2.158                0          18063              0             54          16786          10396
        2.366                0          19228              0             57          17689          10663
        2.584                0          20445              0             60          18637          10935
        2.813                0          21577              0             64          19513          11197
        3.054                0          22777              0             67          20444          11469
        3.307                0          23952              0             71          21351          11741
        3.572                0          25165              0             74          22290          12020
        3.851                0          26537              0             77          23369          12316
        4.143                0          27791              0             81          24336          12607
        4.450                0          29100              0             84          25351          12905
        4.773                0          30582              0             87          26522          13221
        5.111                0          31900              0             91          27543          13522
        5.467                0          32929              0             94          28336          13762
        5.840                0          33951              0             98          29121          14003
        6.232                0          34993              0            101          29926          14244
        6.644                0          36024              0            104          30720          14486
        7.076                0          36872              0            108          31386          14671
        7.530                0          37630              0            111          31971          14849
        8.006                0          38416              0            115          32582          15029
        8.507                0          39219              0            118          33207          15210
        9.032                0          40033              0            121          33842          15393
        9.584                0          40845              0            125          34475          15577
       10.163                0          41737              0            128          35173          15774
       10.771                0          42574              0            132          35824          15965
       11.410                0          43425              0            135          36486          16158
       12.080                0          44271              0            138          37141          16354
       12.784                0          45279              0            142          37942          16564
       13.523                0          46162              0            145          38628          16766
       14.299                0          47104              0            149          39360          16981
       15.114                0          48043              0            152          40095          17188
       15.970                0          48958              0            155          40806          17397
       16.869                0          49896              0            159          41538          17607
       17.812                0          50821              0            162          42254          17820
       18.803                0          51717              0            165          42943          18031
       19.803                0          52651              0            168          43672          18240
       20.803                0          53641              0            171          44446          18460
       21.803                0          54733              0            175          45317          18685
       22.803                0          55653              0            178          46035          18892
       23.803                0          56549              0            181          46727          19098
       24.803                0          57456              0            184          47433          19305
       25.803                0          58546              0            187          48305          19526
       26.803                0          59426              0            191          48983          19732
       27.803                0          60319              0            194          49678          19934
       28.803                0          61237              0            197          50396          20138
       29.803                0          62309              0            200          51252          20358
       30.803                0          62869              0            204          51675          20499
       31.803                0          63451              0            207          52125          20635
       32.803                0          64022              0            210          52567          20768
       33.803                0          65096              0            213          53428          20985
       34.803                0          65667              0            217          53869          21119
       35.803                0          66595              0            220          54596          21325
       36.803                0          67430              0            224          55240          21520
       37.803                0          67991              0            227          55673          21652
       38.803                0          68256              0            230          55881          21713
       39.803                0          68780              0            234          56277          21845
       40.803                0          69100              0            237          56535          21911
       41.803                0          69319              0            240          56700          21970
       42.803                0          69603              0            243          56928          22029
       43.803                0          69816              0            247          57087          22088
       44.803                0          70402              0            250          57547          22217
       45.803                0          70664              0            253          57749          22282
       46.803                0          70912              0            257          57940          22343
       47.803                0          71167              0            260          58138          22404
       48.803                0          71399              0            263          58314          22464
       49.803                0          71674              0            266          58533          22523
       50.803                0          71904              0            269          58707          22583
       51.803                0          72170              0            272          58915          22644
       52.803                0          72385              0            275          59075          22704
       53.803                0          72659              0            278          59291          22765
       54.803                0          72871              0            282          59448          22825
       55.803                0          73141              0            285          59662          22885
       56.803                0          73360              0            288          59825          22944
       57.803                0          73620              0            291          60032          23002
       58.803                0          73833              0            295          60192          23059
       59.803                0          74092              0            298          60397          23116
       60.803                0          74608              0            301          60789          23244
       61.803                0          74843              0            304          60971          23302
       62.803                0          75052              0            308          61128          23357
       63.803                0          75292              0            311          61315          23414
       64.803                0          75561              0            314          61516          23487
       65.803                0          75794              0            318          61696          23544
       66.803                0          76016              0            321          61864          23602
       67.803                0          76227              0            324          62023          23658
       68.803                0          76459              0            327          62202          23715
       69.803                0          76675              0            331          62366          23771
       70.803                0          76911              0            334          62549          23827
       71.803                0          77193              0            337          62771          23892
       72.803                0          77416              0            340          62941          23949
       73.803                0          77646              0            344          63117          24007
       74.803                0          77854              0            347          63272          24064
       75.803                0          78100              0            350          63465          24120
       76.803                0          78329              0            354          63641          24177
       77.803                0          78566              0            357          63824          24235
       78.803                0          79372              0            360          64448          24421
       79.803                0          79607              0            363          64630          24479
       80.803                0          79841              0            367          64808          24539
       81.803                0          80084              0            370          64996          24597
       82.803                0          80320              0            373          65178          24655
       83.803                0          80562              0            375          65363          24715
       84.803                0          80796              0            378          65544          24773
       85.803                0          81339              0            381          65961          24902
       86.803                0          81563              0            384          66131          24960
       87.803                0          81806              0            388          66320          25017
       88.803                0          82036              0            391          66497          25076
       89.803                0          82269              0            394          66677          25132
       90.803                0          82497              0            397          66851          25190
       91.803                0          82724              0            401          67025          25247
       92.803                0          82953              0            404          67201          25304
       93.803                0          83178              0            407          67374          25360
       94.803                0          83426              0            410          67566          25420
       95.803                0          83976              0            414          67991          25549
       96.803                0          84524              0            417          68416          25678
       97.803                0          85343              0            421          69056          25860
       98.803                0          85595              0            424          69253          25918
       99.803                0          85825              0            427          69430          25976
      100.803                0          86070              0            430          69623          26032
      101.803                0          86295              0            434          69795          26090
      102.803                0          86530              0            437          69978          26146
      103.803                0          86756              0            440          70150          26203
      104.803                0          86991              0            444          70334          26260
      105.803                0          87211              0            447          70501          26316
      106.803                0          87437              0            450          70676          26371
      107.803                0          87656              0            453          70843          26426
      108.803                0          87998              0            457          71118          26498
