           Time      matel     denmat    reduced    spfprop      aprop    advance  constrain    driving    #DERIVS
 T=       0.100         34         11          0         86        996          2        139          0         42
 T=       0.205         69         22          0        185       1620          4        295          0         40
 T=       0.315        104         34          0        256       2323          6        448          0         38
 T=       0.431        138         46          1        323       3076          8        516          0         36
 T=       0.553        173         57          1        395       3878         10        693          0         34
 T=       0.680        207         69          1        446       4729         12        783          0         32
 T=       0.814        242         80          2        516       5581         14        878          0         30
 T=       0.955        276         92          2        572       6439         16        971          0         28
 T=       1.103        311        103          2        618       7313         17       1260          0         26
 T=       1.258        346        115          3        671       8207         19       1466          0         24
 T=       1.421        380        126          3        767       9124         21       1567          0         44
 T=       1.592        415        138          3        829      10067         23       1668          0         27
 T=       1.771        449        149          4        876      11014         25       1767          0         25
 T=       1.960        484        161          4        965      11990         27       1959          0         46
 T=       2.158        519        173          4       1015      12973         29       2165          0         28
 T=       2.366        553        184          5       1071      13946         31       2258          0         28
 T=       2.584        587        196          5       1127      14891         33       2373          0         28
 T=       2.813        622        207          5       1172      15819         35       2568          0         28
 T=       3.054        657        219          6       1227      16735         37       2680          0         28
 T=       3.307        692        230          6       1339      17652         39       2801          0         56
 T=       3.572        727        242          6       1402      18605         41       2910          0         34
 T=       3.851        761        253          7       1470      19587         43       3024          0         34
 T=       4.143        796        265          7       1539      20605         45       3260          0         34
 T=       4.450        830        276          7       1599      21655         47       3357          0         34
 T=       4.773        864        288          7       1661      22734         48       3474          0         32
 T=       5.111        900        299          8       1769      23808         50       3725          0         60
 T=       5.467        934        311          8       1837      24891         52       3843          0         36
 T=       5.840        968        322          8       1896      25691         54       3964          0         36
 T=       6.232       1002        334          9       1952      26497         56       4075          0         36
 T=       6.644       1036        345          9       2022      27299         58       4196          0         36
 T=       7.076       1070        357          9       2079      28111         60       4310          0         36
 T=       7.530       1104        369         10       2136      28619         62       4544          0         36
 T=       8.006       1138        380         10       2193      29135         64       4681          0         36
 T=       8.507       1173        392         10       2256      29668         66       4823          0         36
 T=       9.032       1208        403         11       2327      30206         68       4966          0         36
 T=       9.584       1242        415         11       2401      30754         70       5108          0         36
 T=      10.163       1277        426         11       2463      31317         72       5246          0         34
 T=      10.771       1312        438         12       2591      31890         74       5388          0         64
 T=      11.410       1346        449         12       2660      32473         76       5525          0         38
 T=      12.080       1381        461         12       2727      33074         78       5658          0         38
 T=      12.784       1415        472         13       2799      33680         79       5778          0         38
 T=      13.523       1450        484         13       2871      34302         81       6042          0         38
 T=      14.299       1485        495         13       2946      34933         83       6170          0         38
 T=      15.114       1519        507         14       3079      35571         85       6293          0         76
 T=      15.970       1554        518         14       3174      36220         87       6438          0         46
 T=      16.869       1589        530         14       3259      36875         89       6563          0         46
 T=      17.812       1624        542         15       3346      37538         91       6702          0         46
 T=      18.803       1659        553         15       3428      38209         93       6824          0         46
 T=      19.803       1694        565         15       3497      38882         95       6928          0         43
 T=      20.803       1728        576         15       3570      39557         97       7065          0         40
 T=      21.803       1763        588         16       3711      40222         99       7200          0         76
 T=      22.803       1797        599         16       3803      40892        101       7481          0         46
 T=      23.803       1832        611         16       3896      41530        103       7622          0         46
 T=      24.803       1866        622         17       3979      42168        105       7745          0         46
 T=      25.803       1901        634         17       4064      42809        107       7878          0         46
 T=      26.803       1936        645         17       4156      43457        109       8178          0         46
 T=      27.803       1971        657         18       4236      44087        110       8299          0         46
 T=      28.803       2006        668         18       4319      44708        112       8437          0         46
 T=      29.803       2041        680         18       4410      45330        114       8593          0         46
 T=      30.803       2075        692         19       4504      45968        116       8885          0         46
 T=      31.803       2109        703         19       4571      46296        118       9000          0         43
 T=      32.803       2144        715         19       4634      46617        120       9148          0         40
 T=      33.803       2179        726         20       4705      46929        122       9287          0         38
 T=      34.803       2213        738         20       4781      47568        124       9597          0         36
 T=      35.803       2247        749         20       4849      47879        126       9741          0         34
 T=      36.803       2282        761         21       4905      48534        128       9908          0         32
 T=      37.803       2316        772         21       4959      49141        130      10034          0         30
 T=      38.803       2350        784         21       5011      49451        132      10184          0         28
 T=      39.803       2386        795         22       5067      49460        134      10333          0         26
 T=      40.803       2419        807         22       5105      49779        136      10453          0         24
 T=      41.803       2454        818         22       5193      49788        138      10627          0         44
