         op        pot      pulse        two   assemble
          1          0          0         30          3
          3          0          0         61          6
          3          0          0         93          9
          4          0          0        124         13
          6          0          0        154         16
          7          0          0        185         19
          8          0          0        215         22
          8          0          0        246         25
          9          0          0        276         28
         10          0          0        307         31
         11          0          0        337         34
         12          0          0        368         37
         14          0          0        398         40
         14          0          0        429         43
         15          0          0        459         46
         16          0          0        490         49
         17          0          0        520         53
         18          0          0        551         56
         19          0          0        581         59
         20          0          0        612         62
         21          0          0        642         65
         22          0          0        673         68
         23          0          0        703         71
         25          0          0        734         74
         26          0          0        764         77
         27          0          0        795         80
         27          0          0        825         83
         28          0          0        856         86
         30          0          0        886         89
         30          0          0        917         92
         31          0          0        947         95
         31          0          0        978         99
         32          0          0       1008        102
         32          0          0       1038        105
         33          0          0       1069        108
         34          0          0       1099        111
         34          0          0       1130        114
         36          0          0       1160        117
         36          0          0       1191        120
         37          0          0       1222        123
         38          0          0       1253        126
         39          0          0       1283        129
         40          0          0       1314        132
         41          0          0       1344        136
         42          0          0       1375        139
         43          0          0       1405        142
         44          0          0       1435        145
         45          0          0       1466        148
         46          0          0       1497        151
         47          0          0       1528        154
         47          0          0       1559        157
         48          0          0       1591        160
         49          0          0       1621        163
         49          0          0       1652        166
         50          0          0       1682        169
         51          0          0       1713        172
         52          0          0       1744        176
         52          0          0       1775        179
         53          0          0       1806        182
         54          0          0       1837        185
         54          0          0       1868        188
         56          0          0       1898        191
         56          0          0       1929        194
         57          0          0       1960        197
         58          0          0       1990        200
         59          0          0       2021        203
         59          0          0       2051        206
         60          0          0       2082        210
         61          0          0       2112        213
         62          0          0       2142        216
         62          0          0       2173        219
         64          0          0       2204        222
         65          0          0       2234        225
         66          0          0       2264        228
         66          0          0       2295        231
         68          0          0       2325        234
         68          0          0       2355        237
         69          0          0       2386        240
         70          0          0       2416        243
         70          0          0       2447        246
         72          0          0       2477        249
         72          0          0       2508        252
         73          0          1       2538        255
         73          0          1       2568        259
         74          0          1       2599        262
         74          0          1       2629        265
         75          0          1       2660        268
         76          0          1       2690        271
         76          0          1       2721        274
         77          0          1       2751        277
         78          0          1       2782        280
         79          0          1       2812        283
         79          0          1       2843        286
         80          0          1       2874        289
         81          0          1       2904        292
         82          0          1       2934        295
         82          0          1       2965        298
         82          0          1       2995        302
         83          0          1       3026        305
         84          0          1       3056        308
         85          0          1       3086        311
         85          0          1       3118        314
         87          0          1       3148        317
         88          0          1       3179        320
         88          0          1       3209        323
         89          0          1       3240        326
         90          0          1       3270        329
         92          0          1       3301        332
         92          0          1       3332        335
         93          0          1       3362        338
         94          0          1       3392        341
         94          0          1       3423        344
         95          0          1       3453        347
         96          0          1       3484        351
         97          0          1       3514        354
         97          0          1       3544        357
         98          0          1       3575        360
         98          0          1       3605        363
         99          0          1       3635        366
        100          0          1       3666        369
        101          0          1       3696        372
        102          0          1       3726        375
        103          0          1       3757        378
        104          0          1       3787        381
        104          0          1       3818        384
        105          0          1       3848        387
        106          0          1       3879        390
        107          0          1       3909        393
        107          0          1       3940        397
        109          0          1       3970        400
        110          0          1       4001        403
        110          0          1       4031        406
        111          0          1       4061        409
        112          0          1       4092        412
        114          0          1       4122        415
        115          0          1       4153        418
        115          0          1       4183        421
        116          0          1       4214        424
        117          0          1       4244        427
        117          0          1       4274        430
        118          0          1       4305        433
        119          0          1       4335        436
        119          0          1       4366        439
        120          0          1       4396        443
        120          0          1       4426        446
        121          0          1       4457        449
        122          0          1       4488        452
        124          0          1       4519        455
        125          0          1       4549        458
        125          0          1       4579        461
        126          0          1       4610        464
        127          0          1       4640        467
        128          0          1       4671        470
        129          0          1       4701        473
        130          0          1       4731        476
        131          0          1       4762        480
        133          0          1       4792        483
        134          0          1       4823        486
        135          0          1       4853        489
        135          0          1       4884        492
