        etc       1den       1mpi       F.T.       2mpi        dot        ALL    ft_copy   ft_conjg    ft_ft1d      ft_tr     ft_mpi    ft_copy    ft_circ
         40          1         44       2704         35        333       2958         17         31        144        288       2054        140         28
         16          3         43       2847         11        356       3090         20         30        165        322       2133        147         27
          7          3         47       2877          2        255       3013         21         34        173        329       2140        148         30
         12          4         39       2752          7        347       2987         19         30        159        313       2037        162         29
         10          2         42       2758          4        245       2893         20         28        158        311       2042        167         30
         14          3         31       2747          8        247       2879         16         29        165        303       2030        174         30
         17          2         37       2730          9        339       2955         18         29        159        308       2022        165         29
         13          4         38       2753          8        402       3050         16         31        165        311       2033        170         27
         22          3         37       2751         16        407       3056         21         33        162        314       2032        159         29
         12          3         34       2732          6        344       2967         19         29        160        310       2022        159         29
         23          4         33       2745         18        332       2978         18         25        166        326       2011        168         29
         16          4         42       2737          9        397       3030         17         27        167        318       2007        171         29
         12          2         36       2746          5        332       2964         18         31        165        304       2041        160         25
         12          5         35       2739          7        244       2873         20         29        167        311       2030        151         31
         15          3         34       2764          7        245       2898         20         29        163        315       2036        170         29
         13          3         37       2743          7        405       3038         20         32        164        303       2036        158         30
         21          5         42       2737         16        242       2883         19         33        164        311       2024        157         29
         17          1         43       2742         12        339       2973         19         31        158        308       2035        160         30
         18          2         49       2725         13        244       2869         21         29        161        305       2015        166         28
         23          2         35       2733         14        245       2874         18         28        170        303       2021        161         31
         22          0         35       2732         14        245       2871         17         26        161        295       2045        158         29
         11          2         40       2759          7        249       2894         19         30        159        307       2054        159         30
         14          3         42       2744          7        406       3045         17         31        172        313       2018        164         28
         14          1         34       2759          9        404       3052         19         30        171        314       2027        167         30
         17          1         40       2735         12        407       3032         19         32        159        308       2029        158         28
          9          5         40       2760          2        406       3053         17         28        164        306       2047        168         28
         16          2         43       2745          8        245       2886         20         27        164        302       2043        158         29
         16          1         39       2744         11        405       3043         21         35        165        322       2012        162         27
         10          2         41       2761          5        246       2892         20         30        166        309       2040        166         29
         22          2         34       2726         18        343       2963         18         33        166        310       2015        154         29
         14          4         34       2750          8        245       2884         21         35        167        317       2024        157         29
         15          3         32       2744          7        276       2911         17         31        161        305       2041        160         29
         18          6         43       2732         12        257       2891         18         28        178        305       2001        172         30
          8          4         44       2735          2        247       2867         20         31        158        304       2033        159         27
         19          3         39       2735         13        405       3038         17         37        165        321       2008        158         28
         13          3         37       2737          8        405       3034         18         31        173        322       2007        159         26
         14          3         33       2755          8        404       3050         19         30        168        315       2027        164         29
         18          3         38       2736          9        404       3035         18         26        176        310       2010        168         27
         11          4         38       2768          5        337       2995         19         32        160        321       2041        165         30
         11          1         43       2827          7        248       2966         20         32        165        290       2122        169         28
         15          2         32       2740          8        405       3032         22         31        167        312       2013        164         31
         23          1         39       2716         17        403       3021         20         32        164        300       2012        159         29
         18          2         40       2743         11        407       3049         21         33        167        295       2040        159         28
         13          2         33       2754          6        407       3046         18         31        164        311       2031        168         31
         15          3         37       2745          9        339       2973         20         32        172        318       2009        166         27
         12          2         43       2738          7        408       3036         15         33        171        318       2013        161         26
         11          4         37       2741          5        340       2965         21         29        171        315       2013        163         29
         18          0         44       2739         13        401       3041         18         27        171        316       2018        159         30
         27          3         31       2805         21        407       3108         19         29        165        301       2103        157         29
         28          4         36       2816         20        351       3063         18         29        161        302       2120        156         28
         19          2         30       2761         14        402       3053         17         31        164        311       2048        158         31
         33          1         44       2852         22        337       3100         17         30        154        285       2176        158         30
         15          3         35       2737          9        244       2873         16         31        167        304       2036        154         29
         16          3         34       2743          8        344       2979         20         35        172        312       2008        164         31
         18          1         38       2737         12        341       2969         19         31        160        296       2034        167         29
         24          4         31       2805         18        409       3109         17         29        166        306       2097        161         29
         18          3         41       2735         14        409       3041         18         30        169        322       2008        159         28
         18          2         35       2773         10        404       3074         17         30        167        316       2047        169         27
         30          2         39       2803         22        409       3119         19         30        158        304       2107        157         27
         16          2         33       2735         10        408       3036         18         29        164        309       2018        169         27
         24          2         39       2821         16        347       3060         18         30        157        297       2139        150         29
         15          3         40       2753          7        408       3052         19         31        168        310       2031        164         29
         12          2         43       2742          6        405       3038         16         34        160        307       2039        155         30
         24          2         40       2728         17        402       3036         16         30        159        305       2028        162         28
         15          4         34       2738         10        347       2976         18         30        166        310       2019        166         27
         10          4         40       2760          5        243       2898         17         34        169        312       2040        158         29
         26          3         30       2740         18        349       2985         18         27        168        305       2032        162         28
          9          1         49       2736          3        407       3036         15         30        163        309       2026        164         29
         21          1         40       2733         14        405       3039         18         28        165        298       2037        157         29
         10          6         36       2743          5        334       2963         15         35        159        310       2029        163         29
         15          0         38       2750         10        408       3048         18         26        169        316       2027        163         29
         17          3         40       2749         13        407       3051         17         32        168        300       2049        154         28
         21          4         41       2728         13        401       3027         18         28        163        298       2029        161         30
         11          4         35       2744          5        344       2976         16         35        164        310       2029        161         28
         11          2         48       2722          6        242       2861         19         26        166        302       2021        160         28
         29          5         31       2722         23        243       2872         19         32        169        308       1990        173         29
         10          2         37       2740          3        247       2869         21         32        157        307       2033        158         29
         13          2         38       2756          6        408       3052         19         28        162        304       2046        166         29
