           Time      matel     denmat    reduced    spfprop      aprop    advance  constrain    driving    #DERIVS
 T=       0.200        961         12         29       3561          0          2          0          0        190
 T=       0.420       1924         25         59       6203          0          4          0          0        140
 T=       0.662       2888         38         89       8248          0          5          0          0        100
 T=       0.928       3851         51        119       9740          0          7          0          0         75
 T=       1.221       4812         64        149      11174          0          9          0          0         72
 T=       1.543       5768         77        179      12472          0         10          0          0         64
 T=       1.897       6723         89        209      13877          0         12          0          0         70
 T=       2.287       7678        102        239      15110          0         13          0          0         60
 T=       2.716       8634        115        269      16779          0         15          0          0         83
 T=       3.187       9591        128        299      18133          0         16          0          0         67
 T=       3.706      10549        141        329      19822          0         18          0          0         86
 T=       4.277      11505        154        359      21401          0         20          0          0         80
 T=       4.905      12461        166        389      22721          0         21          0          0         65
