                         Spfs           Prop            Act          Final             MPI        Non MPI
        0.000                0            386              0              9            142            787
        0.500                0            678              0             19            192           1033
        1.025                0            966              0             29            241           1274
        1.576                0           1245              0             39            288           1509
        2.155                0           1520              0             48            336           1738
        2.763                0           1786              0             59            384           1959
        3.401                0           2132              0             69            432           2261
        4.071                0           2427              0             79            490           2501
        4.775                0           2712              0             89            541           2737
        5.513                0           2996              0            100            591           2975
        6.289                0           3278              0            110            641           3209
        7.103                0           3567              0            121            694           3448
        7.959                0           3945              0            131            745           3778
        8.856                0           4247              0            141            800           4028
        9.799                0           4549              0            152            853           4280
       10.789                0           4851              0            162            907           4530
       11.829                0           5153              0            173            959           4783
       12.920                0           5456              0            183           1012           5036
       14.066                0           5756              0            193           1064           5288
       15.270                0           6058              0            204           1117           5539
       16.533                0           6478              0            214           1169           5909
       17.860                0           6804              0            224           1222           6185
       19.253                0           7130              0            235           1274           6462
       20.715                0           7453              0            245           1326           6737
       22.251                0           7769              0            255           1377           7004
       23.864                0           8201              0            266           1429           7387
       25.557                0           8535              0            276           1480           7673
       27.335                0           8868              0            287           1533           7956
       29.201                0           9202              0            297           1583           8243
       31.161                0           9537              0            307           1636           8528
       33.219                0           9870              0            318           1686           8814
       35.380                0          10364              0            328           1742           9255
       37.649                0          10688              0            338           1782           9542
       40.032                0          11018              0            349           1824           9832
       42.533                0          11342              0            359           1863          10119
       45.160                0          11667              0            370           1904          10406
       47.918                0          11971              0            380           1943          10676
       50.814                0          12446              0            390           1987          11109
       53.855                0          12787              0            401           2027          11412
       57.048                0          13125              0            411           2068          11712
       60.400                0          13457              0            422           2106          12010
       63.920                0          13789              0            430           2142          12308
       67.616                0          14115              0            439           2169          12610
       71.497                0          14441              0            447           2199          12909
       75.572                0          14971              0            456           2229          13411
       79.850                0          15342              0            465           2261          13752
       84.343                0          15712              0            473           2291          14095
       89.060                0          16084              0            482           2323          14438
       94.013                0          16441              0            490           2353          14767
       99.013                0          16786              0            499           2383          15084
      104.013                0          17330              0            507           2414          15600
      109.013                0          17720              0            516           2448          15960
      114.013                0          18101              0            524           2479          16311
      119.013                0          18486              0            533           2513          16665
      124.013                0          18867              0            541           2545          17018
      129.013                0          19250              0            550           2577          17370
      134.013                0          19631              0            559           2608          17724
      139.013                0          20018              0            567           2639          18081
      144.013                0          20398              0            576           2669          18438
      149.013                0          20781              0            584           2701          18792
      154.013                0          21150              0            593           2730          19134
      159.013                0          21503              0            602           2760          19460
      164.013                0          21838              0            610           2789          19773
      169.013                0          22160              0            619           2819          20068
      174.013                0          22655              0            627           2850          20535
      179.013                0          23008              0            636           2879          20860
      184.013                0          23356              0            644           2907          21183
      189.013                0          23706              0            653           2940          21503
      194.013                0          24055              0            661           2970          21825
      199.013                0          24418              0            670           3003          22158
      204.013                0          24767              0            678           3032          22481
      209.013                0          25070              0            687           3050          22768
      214.013                0          25409              0            696           3080          23079
      219.013                0          25682              0            704           3098          23337
      224.013                0          25990              0            713           3127          23619
      229.013                0          26412              0            721           3143          24028
      234.013                0          26692              0            730           3157          24296
      239.013                0          27028              0            738           3186          24606
      244.013                0          27314              0            747           3201          24879
      249.013                0          27596              0            756           3215          25149
      254.013                0          27877              0            764           3229          25418
      259.013                0          28160              0            773           3245          25689
      264.013                0          28496              0            781           3274          25999
      269.013                0          28781              0            790           3288          26272
      274.013                0          29049              0            798           3301          26529
      279.013                0          29302              0            807           3315          26771
      284.013                0          29544              0            816           3328          27003
      289.013                0          29781              0            824           3342          27228
      294.013                0          30007              0            833           3355          27444
      299.013                0          30377              0            841           3373          27798
      304.013                0          30628              0            850           3387          28037
      309.013                0          30880              0            858           3403          28277
      314.013                0          31133              0            867           3419          28516
      319.013                0          31386              0            876           3431          28760
      324.013                0          31639              0            884           3444          29003
      329.013                0          31891              0            893           3456          29246
      334.013                0          32133              0            901           3468          29479
      339.013                0          32365              0            910           3479          29701
      344.013                0          32586              0            918           3491          29913
