           Time      matel     denmat    reduced    spfprop      aprop    advance  constrain    driving    #DERIVS
 T=       0.500         45         36          0        126        176          0          0          0         42
 T=       1.025         90         55          0        243        286          0          0          0         40
 T=       1.576        134         74          0        358        394          0          0          0         38
 T=       2.155        177         93          0        467        502          0          0          0         36
 T=       2.763        221        112          1        570        611          0          0          0         34
 T=       3.401        263        130          1        664        721          1          0          0         32
 T=       4.071        306        148          1        841        829          1          0          0         60
 T=       4.775        349        179          1        952        938          1          0          0         36
 T=       5.513        392        202          1       1061       1046          1          0          0         36
 T=       6.289        435        226          2       1169       1155          1          0          0         36
 T=       7.103        479        249          2       1275       1264          1          0          0         36
 T=       7.959        522        276          2       1385       1373          2          0          0         36
 T=       8.856        565        300          2       1586       1481          2          0          0         68
 T=       9.799        608        327          3       1708       1590          2          0          0         41
 T=      10.789        651        352          3       1832       1699          2          0          0         41
 T=      11.829        695        377          3       1955       1808          2          0          0         41
 T=      12.920        738        401          3       2080       1917          3          0          0         41
 T=      14.066        781        425          3       2207       2026          3          0          0         41
 T=      15.270        824        448          4       2330       2135          3          0          0         41
 T=      16.533        867        472          4       2455       2244          3          0          0         41
 T=      17.860        911        495          4       2699       2353          3          0          0         82
 T=      19.253        954        519          4       2848       2462          3          0          0         49
 T=      20.715        997        543          4       2998       2570          3          0          0         49
 T=      22.251       1040        566          5       3144       2680          4          0          0         49
 T=      23.864       1084        589          5       3285       2788          4          0          0         46
 T=      25.557       1127        611          5       3542       2897          4          0          0         86
 T=      27.335       1170        633          5       3702       3005          4          0          0         52
 T=      29.201       1214        655          5       3858       3115          4          0          0         52
 T=      31.161       1257        677          6       4017       3224          4          0          0         52
 T=      33.219       1300        698          6       4178       3333          5          0          0         52
 T=      35.380       1343        719          6       4338       3442          5          0          0         52
 T=      37.649       1390        739          6       4655       3551          5          0          0        104
 T=      40.032       1433        759          6       4851       3615          5          0          0         63
 T=      42.533       1480        779          7       5048       3679          5          0          0         63
 T=      45.160       1523        799          7       5245       3742          5          0          0         63
 T=      47.918       1566        818          7       5444       3805          6          0          0         63
 T=      50.814       1609        837          7       5622       3869          6          0          0         59
 T=      53.855       1656        856          7       5967       3932          6          0          0        112
 T=      57.048       1702        874          8       6179       3995          6          0          0         67
 T=      60.400       1746        893          8       6391       4058          6          0          0         67
 T=      63.920       1789        910          8       6599       4122          6          0          0         67
 T=      67.616       1833        930          8       6808       4181          7          0          0         67
 T=      71.497       1879        943          8       7017       4237          7          0          0         67
 T=      75.572       1922        958          9       7227       4295          7          0          0         67
 T=      79.850       1965        971          9       7642       4352          7          0          0        134
 T=      84.343       2008        991          9       7892       4410          7          0          0         80
 T=      89.060       2052       1007          9       8144       4467          7          0          0         80
 T=      94.013       2095       1025          9       8398       4524          8          0          0         80
 T=      99.013       2138       1041         10       8636       4582          8          0          0         76
 T=     104.013       2182       1057         10       8863       4639          8          0          0         72
 T=     109.013       2225       1073         10       9291       4696          8          0          0        136
 T=     114.013       2271       1089         10       9560       4754          8          0          0         82
 T=     119.013       2315       1105         10       9823       4812          8          0          0         82
 T=     124.013       2358       1124         11      10086       4871          8          0          0         82
 T=     129.013       2401       1141         11      10349       4929          9          0          0         82
 T=     134.013       2445       1158         11      10611       4987          9          0          0         82
 T=     139.013       2488       1175         11      10874       5045          9          0          0         82
 T=     144.013       2532       1192         12      11137       5103          9          0          0         82
 T=     149.013       2575       1209         12      11399       5160          9          0          0         82
 T=     154.013       2618       1225         12      11664       5218          9          0          0         82
 T=     159.013       2662       1241         12      11916       5275         10          0          0         78
 T=     164.013       2705       1257         12      12149       5332         10          0          0         74
 T=     169.013       2748       1273         13      12367       5389         10          0          0         70
 T=     174.013       2791       1288         13      12572       5446         10          0          0         66
 T=     179.013       2835       1303         13      12951       5504         10          0          0        124
 T=     184.013       2879       1318         13      13187       5561         10          0          0         74
 T=     189.013       2922       1333         13      13419       5618         11          0          0         74
 T=     194.013       2966       1351         14      13648       5677         11          0          0         74
 T=     199.013       3009       1366         14      13880       5734         11          0          0         74
 T=     204.013       3056       1382         14      14123       5792         11          0          0         74
 T=     209.013       3099       1397         14      14355       5849         11          0          0         74
 T=     214.013       3143       1414         14      14594       5852         11          0          0         74
 T=     219.013       3186       1430         15      14815       5910         12          0          0         70
 T=     224.013       3230       1445         15      15025       5914         12          0          0         66
 T=     229.013       3273       1460         15      15216       5971         12          0          0         62
 T=     234.013       3316       1475         15      15577       5974         12          0          0        118
 T=     239.013       3360       1490         15      15795       5978         12          0          0         71
 T=     244.013       3405       1504         16      16012       6035         12          0          0         71
 T=     249.013       3448       1518         16      16236       6039         13          0          0         71
 T=     254.013       3491       1533         16      16457       6042         13          0          0         71
 T=     259.013       3535       1547         16      16677       6045         13          0          0         71
 T=     264.013       3578       1562         16      16897       6048         13          0          0         71
 T=     269.013       3621       1576         17      17118       6106         13          0          0         71
 T=     274.013       3664       1590         17      17342       6110         13          0          0         71
 T=     279.013       3707       1604         17      17548       6113         14          0          0         67
 T=     284.013       3750       1617         17      17741       6116         14          0          0         63
 T=     289.013       3795       1630         18      17922       6120         14          0          0         59
 T=     294.013       3840       1643         18      18096       6123         14          0          0         56
 T=     299.013       3885       1656         18      18261       6126         14          0          0         53
 T=     304.013       3930       1671         18      18566       6129         14          0          0        100
 T=     309.013       3975       1685         18      18754       6133         14          0          0         60
 T=     314.013       4019       1700         19      18943       6136         15          0          0         60
 T=     319.013       4064       1715         19      19131       6139         15          0          0         60
 T=     324.013       4109       1731         19      19320       6143         15          0          0         60
 T=     329.013       4154       1747         19      19509       6146         15          0          0         60
 T=     334.013       4199       1761         20      19697       6149         15          0          0         60
 T=     339.013       4244       1776         20      19875       6153         16          0          0         57
 T=     344.013       4289       1790         20      20043       6156         16          0          0         54
 T=     349.013       4334       1805         20      20201       6159         16          0          0         51
