         op        pot      pulse        two   assemble
          1          0          0         41          0
          2          0          0         83          0
          3          0          0        125          0
          4          0          0        167          0
          5          0          0        211          0
          6          0          0        255          0
          7          0          0        298          0
          8          0          0        340          0
          9          0          0        382          0
         10          0          0        423          0
         11          0          0        465          1
         12          0          0        507          1
         13          0          1        548          1
         14          0          1        590          1
         15          0          1        632          1
         16          0          1        674          1
         17          0          1        716          1
         18          0          1        758          1
         19          0          1        800          1
         20          0          1        842          1
         21          0          1        884          2
         22          0          1        926          2
         23          0          1        968          2
         24          0          1       1010          2
         25          0          2       1052          2
         26          0          2       1094          2
         27          0          2       1136          2
         28          0          2       1178          2
         29          0          2       1220          2
         30          0          2       1262          2
         32          0          2       1304          2
         33          0          2       1346          3
         34          0          2       1388          3
         35          0          2       1430          3
         36          0          2       1472          3
         37          0          2       1517          3
         38          0          3       1559          3
         39          0          3       1605          3
         40          0          3       1647          3
         41          0          3       1689          3
         42          0          3       1731          3
         43          0          3       1776          4
         44          0          3       1821          4
         45          0          3       1863          4
         46          0          3       1906          4
         47          0          3       1948          4
         48          0          3       1993          4
         49          0          3       2035          4
         50          0          4       2077          4
         51          0          4       2119          4
         52          1          4       2161          4
         53          1          4       2203          4
         54          1          4       2245          5
         55          1          4       2287          5
         56          1          4       2329          5
         57          1          4       2374          5
         58          1          4       2416          5
         59          1          4       2458          5
         60          1          4       2500          5
         61          1          4       2543          5
         62          1          5       2585          5
         63          1          5       2627          5
         64          1          5       2669          6
         66          1          5       2711          6
         67          1          5       2753          6
         68          1          5       2795          6
         69          1          5       2837          6
         70          1          5       2879          6
         71          1          5       2921          6
         72          1          5       2964          6
         73          1          5       3006          6
         74          1          5       3048          6
         75          1          6       3090          7
         76          1          6       3136          7
         77          1          6       3178          7
         78          1          6       3220          7
         79          1          6       3263          7
         80          1          6       3305          7
         81          1          6       3347          7
         82          1          6       3389          7
         83          1          6       3431          7
         84          1          6       3475          7
         85          1          6       3517          7
         86          1          6       3559          8
         87          1          7       3601          8
         88          1          7       3643          8
         89          1          7       3685          8
         90          1          7       3727          8
         91          1          7       3769          8
         92          1          7       3811          8
         94          1          7       3854          8
         95          1          7       3898          8
         96          1          7       3941          8
         97          1          7       3985          9
         98          1          7       4029          9
         99          1          7       4072          9
        100          1          8       4116          9
        101          1          8       4159          9
        102          1          8       4203          9
        103          1          8       4247          9
        104          1          8       4290          9
        105          1          8       4334          9
        106          2          8       4378          9
