        etc       1den       1mpi       doit       2mpi        dot        all    ft_zero      ft_ft      ft_tr     ft_mpi    ft_copy    ft_circ
         26         16        111       3784         18        157       4122        106        714        220       2011        436        153
         26         20        121       3782         23        159       4138        192        829        229       1587        580        179
         22         16        119       3738         63        157       4124        121        722        214       1946        388        157
         22         11        123       3732         60        157       4121        115        729        211       1951        379        163
         19         15        124       3972         64        157       4362        115        719        227       2189        383        162
         22         12        128       3986         56        158       4372        163        806        198       2004        478        153
         20         19        172       3790          7        159       4178        169        801        203       1809        473        159
         20         14        164       3762          9        158       4139        160        814        197       1790        462        159
         21         15        160       3763         10        158       4139        171        804        206       1770        475        151
         21         15        123       3731         42        159       4099        116        719        210       1933        414        153
         25         24        138       3743         12        163       4111        167        752        196       1861        433        175
         26         16        145       3763         15        162       4139        161        743        204       1879        439        166
         25         23        141       3741         14        163       4115        165        745        189       1867        435        168
         25         22        145       3740          7        162       4115        152        743        218       1841        450        171
         25         18        168       3787          6        162       4180        160        745        212       1898        443        164
         26         20        145       3738          8        163       4115        148        745        222       1843        442        167
         25         23        141       3740         12        162       4112        158        749        220       1838        432        173
         20         17        158       3783          9        157       4145        171        814        197       1770        479        161
         20         14        162       3765          8        158       4141        165        808        206       1773        473        153
         22         13        162       3786          6        157       4154        173        794        197       1787        488        162
         21         22        161       3765          5        157       4143        168        808        181       1793        471        151
         21         18        159       3765         10        157       4141        175        812        190       1789        467        145
         21         15        163       3774          8        157       4142        160        820        193       1777        473        162
         20         12        163       3770         15        158       4148        156        818        214       1766        483        157
         20         17        162       3769          9        157       4143        167        811        197       1778        469        155
         19         11        165       3772         11        158       4143        148        820        212       1758        492        174
         22         10        162       3773         11        157       4144        154        822        201       1766        483        168
         20         15        160       3767         13        158       4148        169        817        187       1784        470        147
         22         15        159       3774          9        157       4146        149        832        195       1775        469        173
         20         19        159       3767          9        158       4145        174        801        193       1783        478        149
         24         21        159       3765         10        158       4144        165        820        169       1797        472        151
         19         12        164       3793         14        158       4173        162        809        198       1810        481        152
         21         13        159       3767         16        158       4145        176        794        218       1770        481        147
         21         12        162       3768         16        157       4148        171        798        220       1763        485        148
         22         11        161       3768         10        157       4144        167        811        211       1759        487        153
         23         15        170       4087          7        157       4473        182        794        190       2112        479        153
         20          9        163       3763         12        157       4142        167        812        212       1763        477        150
         21         10        169       4098         12        157       4478        191        792        205       2125        464        154
         21         22        160       3761          9        157       4142        183        794        192       1795        469        145
         21         18        161       3762         13        157       4143        174        800        189       1789        478        148
         22         17        159       3762         12        157       4140        172        802        209       1764        483        154
         20         19        186       4086         27        157       4506        168        802        210       2089        478        153
         21         20        161       4062          8        157       4439        165        812        180       2083        483        158
         22          8        161       3778         11        158       4150        157        807        208       1780        484        165
         23          8        162       3778         14        157       4146        157        815        217       1753        488        168
         22         10        162       3787         10        157       4158        158        806        199       1784        492        162
         20         18        161       3757         11        157       4135        172        805        192       1778        474        152
         20         20        162       3754          4        157       4126        163        817        194       1758        478        160
         21         15        162       3755         12        157       4134        162        812        202       1764        479        155
         21         19        158       3774          8        158       4146        167        813        191       1779        481        158
         22         28        158       3767          4        157       4146        173        812        166       1797        468        153
         21         16        157       3777          9        157       4148        176        816        197       1776        474        156
         20         10        162       3773         13        157       4145        168        804        208       1760        497        162
         21         19        160       3758          6        158       4136        167        817        180       1787        468        154
         20         16        162       3757         14        157       4135        159        804        205       1772        486        155
         21         18        162       4097          6        158       4473        154        819        191       2116        465        159
         21         19        160       3743         10        158       4123        171        797        206       1752        480        148
         23         17        157       3774         10        157       4147        175        802        202       1774        485        158
         22         17        160       3758          9        158       4138        178        801        197       1770        474        151
         22         21        162       3775         14        157       4159        167        814        199       1788        471        150
         22         18        160       3777         10        157       4154        163        812        196       1787        477        156
         23         20        172       3760         13        158       4152        168        802        200       1785        475        155
         19         16        163       3763         16        158       4145        161        813        212       1774        473        151
         21         15        148       3779         25        157       4151        146        822        205       1771        485        172
         21         11        161       3767         11        158       4146        185        786        210       1780        477        149
         20         12        163       3766          9        158       4147        169        813        195       1784        467        147
         23         24        154       3774          6        157       4145        164        800        188       1786        483        166
         24         18        154       3771         12        158       4146        184        797        191       1782        478        150
         19         15        159       3759         11        157       4144        190        791        212       1787        459        138
         23         12        160       3854          5        157       4223        156        821        199       1845        479        162
